price_in_rp,bedrooms,bathrooms,land_size_m2,building_size_m2,carports,electricity,floors,year_built,garages, Bekasi, Bogor, Depok, Jakarta Barat, Jakarta Pusat, Jakarta Selatan, Jakarta Timur, Jakarta Utara, Tangerang
-2147483648,4,4,239,272,0,4400,2,2017,0,1,0,0,0,0,0,0,0,0
1270000000,3,2,55,69,1,2200,2,2018,0,1,0,0,0,0,0,0,0,0
1950000000,3,3,119,131,1,2200,2,2018,1,1,0,0,0,0,0,0,0,0
-2147483648,3,3,180,174,0,3500,2,2016,2,1,0,0,0,0,0,0,0,0
-2147483648,4,3,328,196,2,3500,2,2013,1,1,0,0,0,0,0,0,0,0
-2147483648,3,3,136,200,2,3500,2,2013,1,1,0,0,0,0,0,0,0,0
-2147483648,2,2,144,144,1,4400,2,2018,1,1,0,0,0,0,0,0,0,0
-2147483648,4,4,216,250,2,3500,2,2018,1,1,0,0,0,0,0,0,0,0
-2147483648,3,3,200,152,2,4400,2,2018,0,1,0,0,0,0,0,0,0,0
-2147483648,3,3,136,200,1,3500,2,2018,1,1,0,0,0,0,0,0,0,0
-2147483648,3,2,144,186,1,2200,2,2018,0,1,0,0,0,0,0,0,0,0
952000000,2,2,55,50,1,2200,2,2018,0,1,0,0,0,0,0,0,0,0
1800000000,2,1,119,82,1,2200,2,2013,1,1,0,0,0,0,0,0,0,0
-2147483648,3,3,144,149,1,2200,2,2014,1,1,0,0,0,0,0,0,0,0
-2147483648,3,3,144,200,1,2200,2,2014,1,1,0,0,0,0,0,0,0,0
-2147483648,3,3,193,136,1,3500,3,2015,1,1,0,0,0,0,0,0,0,0
-2147483648,5,4,192,370,2,3500,2,2018,0,1,0,0,0,0,0,0,0,0
952000000,2,2,55,50,1,2200,2,2018,0,1,0,0,0,0,0,0,0,0
-2147483648,4,3,119,150,0,2200,2,2018,0,1,0,0,0,0,0,0,0,0
-2147483648,3,2,119,150,1,2200,1,2016,1,1,0,0,0,0,0,0,0,0
-2147483648,3,3,144,150,1,2200,1,2016,0,1,0,0,0,0,0,0,0,0
125000000,3,1,110,110,0,1300,2,2022,0,1,0,0,0,0,0,0,0,0
1980000000,2,2,119,98,1,3500,2,2020,1,1,0,0,0,0,0,0,0,0
764000000,3,3,78,83,2,2200,2,2022,0,1,0,0,0,0,0,0,0,0
2000000000,3,2,164,155,0,2200,1,2010,0,1,0,0,0,0,0,0,0,0
764000000,3,3,78,83,2,2200,2,2022,0,1,0,0,0,0,0,0,0,0
-2147483648,3,2,119,140,1,3160,2,2018,0,1,0,0,0,0,0,0,0,0
-2147483648,3,2,144,186,1,2200,2,2018,1,1,0,0,0,0,0,0,0,0
480000000,2,1,55,30,1,1300,1,2022,0,1,0,0,0,0,0,0,0,0
1900000000,2,3,91,120,2,3160,2,2018,0,1,0,0,0,0,0,0,0,0
300000000,2,1,60,36,1,1300,1,2022,0,1,0,0,0,0,0,0,0,0
-2147483648,4,3,192,307,2,3500,3,2022,0,1,0,0,0,0,0,0,0,0
-2147483648,4,3,150,200,2,5500,2,2018,2,1,0,0,0,0,0,0,0,0
-2147483648,4,4,135,149,2,3500,2,2018,0,1,0,0,0,0,0,0,0,0
500000000,3,1,72,42,0,2200,1,2022,0,1,0,0,0,0,0,0,0,0
439000000,3,1,60,37,0,2200,1,2022,0,1,0,0,0,0,0,0,0,0
800000000,3,2,92,82,0,2200,2,2018,2,1,0,0,0,0,0,0,0,0
850000000,3,2,200,125,1,2200,1,2015,1,1,0,0,0,0,0,0,0,0
700000000,3,2,90,146,1,3500,2,2018,1,1,0,0,0,0,0,0,0,0
-2147483648,5,4,348,430,1,5500,2,2018,1,1,0,0,0,0,0,0,0,0
1300000000,4,4,84,105,1,2200,2,2022,1,1,0,0,0,0,0,0,0,0
1200000000,3,2,120,90,2,2200,2,2022,0,1,0,0,0,0,0,0,0,0
-2147483648,5,4,160,296,0,3500,2,2018,0,1,0,0,0,0,0,0,0,0
1300000000,4,4,84,105,1,2200,2,2022,1,1,0,0,0,0,0,0,0,0
1300000000,4,4,84,105,1,2200,2,2022,1,1,0,0,0,0,0,0,0,0
1300000000,4,3,84,105,0,3160,2,2022,0,1,0,0,0,0,0,0,0,0
425000000,2,1,90,65,0,2200,1,2011,0,1,0,0,0,0,0,0,0,0
280000000,2,1,70,40,1,1300,1,2022,1,1,0,0,0,0,0,0,0,0
999000000,6,2,127,190,1,3500,2,2021,1,1,0,0,0,0,0,0,0,0
-2147483648,5,4,400,398,2,6600,2,2015,1,1,0,0,0,0,0,0,0,0
1500000000,3,2,100,136,1,1300,2,2022,1,1,0,0,0,0,0,0,0,0
-2147483648,4,5,250,400,1,3300,1,2018,1,1,0,0,0,0,0,0,0,0
168000000,2,1,60,19,1,1300,1,2022,1,1,0,0,0,0,0,0,0,0
870000000,3,1,90,80,1,2200,2,2022,0,1,0,0,0,0,0,0,0,0
495000000,2,1,86,45,1,1300,1,2022,1,1,0,0,0,0,0,0,0,0
275000000,2,1,60,36,1,3160,1,2022,1,1,0,0,0,0,0,0,0,0
300000000,2,2,70,70,1,1300,1,2021,1,1,0,0,0,0,0,0,0,0
1440000000,2,2,55,60,1,2200,2,2018,0,1,0,0,0,0,0,0,0,0
764000000,3,3,78,83,1,2200,2,2022,0,1,0,0,0,0,0,0,0,0
1200000000,3,2,120,90,2,2200,2,2021,0,1,0,0,0,0,0,0,0,0
764000000,3,3,78,83,2,2200,2,2022,0,1,0,0,0,0,0,0,0,0
495000000,2,1,86,45,1,1300,1,2022,1,1,0,0,0,0,0,0,0,0
1500000000,4,3,100,136,2,2200,2,2022,2,1,0,0,0,0,0,0,0,0
300000000,2,1,60,36,1,1300,1,2022,1,1,0,0,0,0,0,0,0,0
365000000,2,1,60,36,1,1300,1,2018,0,1,0,0,0,0,0,0,0,0
350000000,2,1,60,38,1,1300,1,2022,0,1,0,0,0,0,0,0,0,0
351000000,2,1,60,38,1,1300,1,2020,0,1,0,0,0,0,0,0,0,0
393000000,2,1,60,36,1,1300,1,2022,0,1,0,0,0,0,0,0,0,0
392000000,2,1,72,36,1,1300,1,2021,0,1,0,0,0,0,0,0,0,0
440000000,2,1,66,36,1,1300,1,2021,1,1,0,0,0,0,0,0,0,0
351000000,2,1,60,38,1,1300,1,2020,0,1,0,0,0,0,0,0,0,0
